Title,Number of review,Catagory,Reveiw Comment,Popular food,Online Order
Little Alley,44,"Asian, Chinese",“I savored Crystal Shrimp Dumplings with delicate translucent skin that melted...”,Dumplings,Yes
Fields Good Chicken,4,"American, Healthy",“Very nice !!”,Dim Sum,Yes
Dim Sum Palace,5,Chinese,“I was in the mood for Dim Sum and this place was only a block away from the 3...”,vegetarian,Yes
The Hideout Chai Bar,2,"Asian, Thai",“How a chai should be served”,noodles,Yes
Spice,41,"Chinese, Asian",“cheap lunch”,sliders,Yes
Nan Xiang Xiao Long Bao Manhattan,3,Indian,“This should be #1 on your list to go eat”,ribeye,Yes
Saar Indian Bistro,98,"Japanese, Sushi",“We had a party of four and ordered three entrees to share and one vegetarian...”,No,Yes
Rosella,2,American,“A Great Sushi Dinner”,No,Yes
Starbucks,8,"Chinese, Asian",“The Place for Coffee”,No,Yes
Tauro Restaurant,5,American,“They had me at the first mami!”,No,Yes
3 Times,2,"Indian, Chinese",“Excelent experience”,No,See events
Mister Dips,2,American,“Dip me some more”,No,Yes
Utsav Restaurant,627,American,“Great food but very chaotic atmosphere”,No,Yes
Gramercy Ale House,4,"Brazilian, South American",“best bar for cool guys”,No,Yes
Wrap-N-Run Grill,10,"Italian, Mediterranean",“There is something that is not right...”,No,Yes
Botequim,16,"American, Barbecue",“Unique!”,No,Yes
Lenny's Sub Shop,8,"Chinese, Cafe",“Great establishment for breakfast”,No,Yes
King's Pizza of Harlem,2,Thai,“Excellent cheese pizza slice at this...”,No,Yes
Allora Fifth Ave,9,"Pub, Gastropub",“Good experience for dinner”,No,No
Sin City Burger,7,American,“Decent Burger”,No,No
Hokey Poke,2,"Chinese, Asian",“The best in town”,No,No
Wu & Nussbaum,3,"American, Filipino",“Ditto the Dan dan noodles.”,No,No
Chez asta - jacob,5,"Italian, Pizza",“Really tasty Senegalese food”,No,No
EatWith: Gameka of New York,2,"American, Bar",“An authentic and intimate experience!”,No,No
The Elgin,55,"Mediterranean, Healthy",“I had the sliders and a green salad with a tasty lemony vinaigrette.”,No,No
West End Taqueria,5,"Seafood, Soups",“Avoid”,No,No
Yankee Doodle Dandy's,2,"Seafood, Soups",“Utterly Delicious!”,No,No
Pokeworks,2,"Seafood, Soups",“Fats & Friendly Service”,No,No
Silky Kitchen,5,"Seafood, Soups",“Great Noodle Dishes”,No,No
The Stand,2,"Seafood, Soups",“Wattelet Family Best Food Around”,No,No
Motorino East Village,290,"Seafood, Soups",“Excellent Pizza”,No,No
YaYa Tea,10,"Seafood, Soups",“Good milk tea”,No,No
Burgerology Midtown,9,"Seafood, Soups",“Friendly Bar Staff”,No,No
Radio Star,8,"Seafood, Soups",“Get on stage and be your own AMERICAN IDOL”,No,No
Dunkin',5,"Seafood, Soups",“Convenient location”,No,No
Falafellas,8,"Seafood, Soups",“Great Food!”,No,No
Benjamin Steakhouse,"2,490","Seafood, Soups","“I had a ribeye steak which was excellent quality meat, beautifully cooked and...”",No,No
Ledo Pizza,13,"Italian, Pizza",“Maryland’s Best in NYC”,breakfast,Yes
Taste Kitchen Chinese Cuisine,4,"American, Bar",“These folks know how to spice food; lunch...”,Sushi,Yes
Maxwell's Central Park,33,Pub,“Lunch with son and mom”,lobster bisque,Yes
Paddy Reilly's Music Bar,5,"Asian, Thai","“It's a Bar, not a Restaurant”",tuna,Yes
New York Thai Grill & Sushi Bar,54,"Italian, Seafood",“Great hole in the wall”,Dumplings,Yes
Agata & Valentina new york,5,"Pizza, Italian",“... visit for breakfast and delicious t...”,salad,Yes
Stone Bridge Pizza & Salad,41,"Bar, Pub","“Good, not typical NY slice”",No,Yes
Ace Bar,11,American,“Drinks with friends”,No,Yes
Iron Horse NYC,8,"International, South American","“Very fun, tucked away!”",No,Yes
Harlem Hops,3,American,“Craft beer”,No,Yes
La Casa Del Pan,2,"Japanese, Seafood",“great”,No,Yes
The Magician Bar,7,"Bar, Pub",“We love it”,No,Yes
Momoya Soho,9,"Mediterranean, Turkish",“Leave it to Sushi Chef!”,No,No
Goldbar,6,"Steakhouse, Bar",“Good Music”,No,No
Sixth Avenue Garden Gourmet Deli,3,Chinese,“Breakfast take-away 3 times”,No,No
Anka Grill Mediterranean,17,"American, Cafe",“Large Lunch Portion on Lexington”,No,No
Magic Hour Rooftop Bar & Lounge,2,"Japanese, Japanese Fusion",“Cool rooftop bar with close view of the...”,No,No
Birch Coffee,3,"American, Cafe",“Quick coffee run”,No,No
Sea Fire Grill,"1,137","American, Steakhouse",“The lobster bisque was velvety and luscious.”,No,No
Hunan Chen's Kitchen,6,Mexican,“Not sure if they’re still open.”,No,No
Perpetuum Cafe,5,Seafood,“Lavender coffee”,No,No
Sarashina Horii,2,"Asian, Chinese",“For Real Afficianados”,No,No
Spanish Diner,8,"Japanese, Sushi",“Not coming back.”,No,No
Flowers Cafe,2,Spanish,“Gode bagels for frokost”,No,No
David Burke Tavern,114,"Caribbean, Cuban",“Highlights were the tuna tartare appetizer and the salmon entree.”,No,No
Azule Cantina,3,"Pub, Gastropub",“Yummy tacos”,No,No
Sushi Kano,3,"Italian, Pizza",“Da assaggiare!”,No,No
Forever Taste,3,"Italian, Pizza",“Awesome food!!”,No,No
JoJu,3,"Italian, Pizza",“Must have lunch stop”,No,No
Dig Inn,3,"Italian, Pizza",“Great lunch option!”,No,No
Little Alley,44,"Italian, Pizza",“I savored Crystal Shrimp Dumplings with delicate translucent skin that melted...”,No,No
Oka Sushi,13,"Italian, Pizza","“? Smell, but favored by hotel staff”",No,No
El Colmado,12,"Italian, Pizza",“Disappointed with selection”,No,No
Havana Heights,5,"Italian, Pizza",“Do not order for delivery from this place”,No,No
Suki,2,"Italian, Pizza",“Awesome Japanese Curry!”,No,No
Leave Rochelle Out of It,7,"Italian, Pizza",“rough edges make for a nice bar”,No,No
Salumeria Rosi,400,"Italian, Pizza",“Food was quite good and the cheese and meats were an ideal meal with salad.”,No,No
Socarrat Paella Bar - Midtown East,191,"Mediterranean, European",“Best paella outside of Spain!”,paella,Yes
Lasani,6,Indian,“Top Grifting”,French toast,Yes
Blue Spoon Coffee Company,2,"Greek, Cafe",“Great coffee and food in a welcoming...”,Steak,Yes
Les Ambassades Bar & Restaurant,7,American,“Bakery Run”,sashimi,Yes
Khiladi,2,"Deli, Canadian",“Very good updated Indian food”,No,Yes
sweetgreen,3,"Bar, Pub",“Consistently delicious salads”,No,Yes
Greek From Greece,19,"American, Steakhouse",“We had some delicious French toast with...”,No,Yes
Rong Cheng House,2,"International, Mediterranean","“Go here for authentic Chinese food, very...”",No,Yes
Pepperoni Tony's - NYC - LES,2,"Mexican, Spanish",“Best Pizza in Lower East Side”,No,Yes
Hex & Company,2,"Cafe, European",“A Genius idea that everyone can have fun...”,No,Yes
Tosties,9,"Fast Food, Cafe",“Hola best place for a small visit”,No,Yes
Azul on the Rooftop,18,"Italian, Mediterranean",“Was nice”,No,Yes
Royal 35 Steakhouse,591,Chinese,"“Superb Steak, really delicious”",No,Yes
Sea Salt Restaurant,2,"Pizza, Italian","“Phenomenal, authentic experience”",No,Yes
Pampano Taqueria,13,"American, Street Food",“Quite terrace with mexican food”,No,Yes
Le Pain Quotidien,39,American,“Good for a quick coffee”,No,Yes
Taz Cafe,16,"Chinese, Steakhouse",“Good value for a quick breakfast on the...”,No,Yes
Merit Kabab Palace,2,Fast Food,"“Very busy, tasty, super reasonable prices”",No,Yes
Allora Fifth Ave,9,American,“Good experience for dinner”,No,Yes
Red House Restaurant,4,"Italian, Pizza",“Great value”,No,No
Hancock St,2,"Chinese, Asian",“Comfort food in a comfortable room”,No,No
Solo Pizza NYC,12,"Chinese, Asian",“Awesome pizza!”,No,No
Social Drink and Food,21,"American, Bar",“Good price..but you get what you pay for...”,No,No
Bombay Sandwich Co.,4,"Italian, Pizza","“Amazing food, great vegan option”",No,No
Brooklyn Chop House - Times Square,3,"Japanese, Sushi",“Worth the price”,No,No
Vote for Pedro Tacos and Tequila Cantina,4,"Japanese, Sushi",“Great from start to finish!”,No,No
Burger King,24,"Japanese, Sushi",“Just Another Burger King”,No,No
The DL,24,"Japanese, Sushi",“Rooftop bar is awesome”,No,No
Blackstone Coffee Roasters,2,"Japanese, Sushi",“Wonderful neighborhood coffee and more”,No,No
Il Mattone,11,"Japanese, Sushi",“cute corner bistro”,No,No
Tim Ho Wan,35,"Japanese, Sushi",“LOVE THIS PLACE”,No,No
Go Noodle,9,"Japanese, Sushi",“Delivery was fine. Usually am...”,No,No
Coco J'adore,4,"Japanese, Sushi",“My Birthday”,No,No
The Stayton Room,11,"Japanese, Sushi","“Okay for hotel breakfast, but expensive...”",No,No
Perfecto Ristorante,7,"Japanese, Sushi","“Great meal, great service”",No,No
Dana's Bakery,21,"Japanese, Sushi",“Good macarons”,No,No
Hatsuhana Sushi Restaurant,425,"Japanese, Sushi","“... notch, including the O-toro sashimi.”",No,No
Motorino,48,"Italian, Pizza",“Delicious thin crust pizza”,pizza,Yes
Moko,2,"Bar, Asian",“Food was phenomenal”,ice cream,Yes
Jungle Bird,2,Israeli,"“Very good food, if you can stand the...”",seafood paella,Yes
Fat Buddha,13,"Seafood, Mediterranean",“Awesome food and drinks - loud music”,tuna,Yes
Paprika,4,American,“Fabulous”,ribeye,Yes
Holey Cream Ice Cream & Donuts,2,"Bar, Grill",“I loved the doughnut ice cream sandwich”,carbonara,Yes
Socarrat Paella Bar - Chelsea,225,Pizza,“We took the combined poultry and seafood paella and started with some appetiz...”,No,Yes
Soulfully Good,8,Asian,“Always my first choice!”,No,Yes
"Subway Inn, A.S",7,"American, Steakhouse",“Great burger and wings!”,No,Yes
Mumbai Masala,6,"American, Deli",“Great Indian Food”,No,Yes
Famous Famiglia Pizzeria,7,Thai,“Dinner”,No,Yes
The Dolar Shop Manhattan,2,"Asian, Korean",“Good Mainland Chinese style Hot pot chain...”,No,Yes
David Burke Tavern,114,"Seafood, Soups",“Highlights were the tuna tartare appetizer and the salmon entree.”,No,Yes
Hudson Market Place,8,"Italian, Pizza",“Respectable Place for Quick Eats”,No,Yes
Top Thai Vintage,11,"American, Middle Eastern",“Great Thai restaurant”,No,Yes
Chu-Ros Thai,2,"American, Sushi",“Superb food”,No,Yes
Cocina Del Sur,3,Healthy,“Excellent food and service”,No,Yes
Rice Kitchen,2,American,“Quick and good”,No,Yes
Benjamin Steakhouse,"2,490",Chinese,"“I had a ribeye steak which was excellent quality meat, beautifully cooked and...”",No,Yes
Summer Salt,2,"Chinese, Sushi",“Yummy choice for election results...”,No,Yes
Fresh Pizza And Deli,3,"Chinese, Asian",“A hidden gem in New York - best pizza!”,No,Yes
Zaad Restaurants,2,American,“Excellent falafel! The other items? Not...”,No,Yes
The Cibo Midtown,5,American,"“Fruit looked fresh, Big Omelets”",No,Yes
Joe & The Juice,4,"American, Indian",“Juice up”,No,Yes
Brickyard craft kitchen & beer,7,Fast Food,“great take away chinese food”,No,Yes
New Dynasty,10,Sushi,"“First visit, takeout, good neighborhood...”",No,No
Hunan Delight Matsuaya Sushi,2,"Italian, Romana",“Salon Sucre pastry shop within Essex...”,No,No
The Market Line,2,"Italian, Romana",“great take out”,No,No
Yardies Jerk,3,"Italian, Romana","“Simple, delicious tacos”",No,No
Dos Toros Taqueria,3,"Italian, Romana",“Great quality for the price!”,No,No
Tangy Noodle,14,"Italian, Romana",“great spot for an afternoon break”,No,No
Kraft,2,"Italian, Romana",“Great taster menu in Soho”,No,No
Wicked Jane,10,"Italian, Romana",“First experience with Bangladeshi/Bengali...”,No,No
Neerob Restaurant & Party Hall,13,"Italian, Romana",“Makes it so much easier and faster to get...”,No,No
Subway,9,"Italian, Romana",“Enjoyable Dinner After Exploring the City”,No,No
Makana,983,"Italian, Romana","“We had a wonderful dinner at Lupa, spaghetti carbonara and the garganelli bol...”",No,No
Lupa Osteria Romana,No,"Italian, Romana",No,No,No
Brooklyn Chop House - Times Square,3,"Chinese, Steakhouse",“Worth the price”,Pizza,Yes
Popeyes Louisiana Kitchen,7,"Eastern European, Armenian",“Tasty fast food”,Steak,Yes
Prince Tea House,2,"American, Asian",“Excellent Afternoon Tea Experience”,No,Yes
Domino's Pizza,9,"Italian, Pizza",“Bread bowl Past”,No,Yes
Toast Bar & Restaurant,7,"American, Brew Pub",“Nice surprise”,No,Yes
Ambassador Grill,16,"International, American","“Overpriced, but amazing staff and support”",No,Yes
Allora Fifth Ave,9,"Italian, Mediterranean",“Good experience for dinner”,No,Yes
Vol de Nuit,18,"Belgian, European",“Dark but lovely hidden gem”,No,Yes
Tal Bagels,9,American,“They have good bagels but since the plant...”,No,Yes
La Lsla Restaurant,7,"American, Pizza",“Nice”,No,Yes
Brooklyn Bean Roastery,2,Pizza,“AMAZING variety & outstanding location”,No,Yes
Katana Kitten,12,"Chinese, Asian",“Summer drinks on the pavement”,No,Yes
The Marshal,323,"American, Bar",“Quite possibly the best Pizza I ever ate!”,No,Yes
Lunetta Pizza Restaurant,2,Italian,“Phenomenal slice of pizza!”,No,Yes
Coco,4,Italian,“Bubble tea right next to our hotel!”,No,Yes
Little Ruby's Cafe,8,Mexican,“Hipster food at a high price”,No,Yes
Better Being,5,"American, Steakhouse",“Great food🍰☕️”,No,Yes
New Double Dragon,5,Cafe,“Pretty good Chinese food despite the...”,No,Yes
Broken Shaker at Freehand New York,14,Indian,“Absolutely amazing”,No,Yes
Paolas Osteria,6,"Indian, Chinese",“Beware the 4% Credit Card Fee on top of...”,No,Yes
Pesce Pasta Tre,6,"Caribbean, Latin",“Marvellous Meatball”,No,No
Milk Bar Mini: FiDi,11,"American, Bar",“The-Breakfast-Drink”,No,No
New Cameron Bakery,2,"Lebanese, Mediterranean",“Delicious food at great prices”,No,No
Sabor A Mexico Taqueria,10,"Asian, Vietnamese","“Tiny place, friendly service, good food”",No,No
Royal 35 Steakhouse,591,"Asian, Vietnamese","“Superb Steak, really delicious”",No,No
Keur Sokhna,4,"Asian, Vietnamese",“East Harlem satisfies quest for dinner”,No,No
Veronika NYC,2,"Asian, Vietnamese",“Old fashioned European hospitality in...”,No,No
Yeti Spice Grill,3,"Asian, Vietnamese","“Great food, nice staff”",No,No
Artichoke Basille's Pizza,2,"Asian, Vietnamese",“Must try!”,No,No
Gotham Pizza,5,"Asian, Vietnamese",“open late on the UES”,No,No
Utsav Restaurant,627,"Asian, Vietnamese",“Great food but very chaotic atmosphere”,No,No
Dunkin',3,"Asian, Vietnamese",“A Have to Visit...”,No,No
M Star Cafe,6,"Asian, Vietnamese",“Excellent choice for cheap breakfast or...”,No,No
Brown Sugar Bar And Restaurant,3,"Asian, Vietnamese",“Depends on what you're looking for”,No,No
Kellys Sports Bar,9,"Asian, Vietnamese",“Sabers game”,No,No
Balade Your Way,2,"Asian, Vietnamese",“Love!”,No,No
Em Vietnamese Bistro,5,"Asian, Vietnamese",““Best Kept Secret in Dumbo””,No,No
Socarrat Paella Bar - Midtown East,191,"Mediterranean, European",“Best paella outside of Spain!”,paella,Yes
Casa Nomad,2,American,“What a delightful find”,fries,Yes
Queen Sheeba Restaurant,5,Mexican,“Interesting hole in the wall restaurant”,surf and turf,Yes
Julia Tea & Dim Sum House,2,"Bar, Pub",“May also appear on T/A as VIP Dim Sum”,diner,Yes
Cafe Frieda,9,Pub,“Best lunch in years”,Steak,Yes
The Shuka Truck,4,"American, Steakhouse",“Nice Options”,sliders,Yes
All Stars Sports Bar & Grill,21,"Diner, American","“The fries were terrific also, hot crisp...”",Dumplings,Yes
Blaggard's Pub,8,Chinese,“FRIENDLY SERVICE”,Japanese Restaurant,Yes
Catch Steak New York,45,"American, Steakhouse",“There wasn’t a surf and turf option but they did allow us to add a lobster sk...”,steak,Yes
Zafis Luncheonette,13,Steakhouse,“Great and typical diner breakfast”,No,Yes
Yin Ji Chang Fen,4,"Mexican, Contemporary",“Good portions”,No,Yes
Elsa La Reina Del Chicharron,3,"Pizza, Italian",“Delicious”,No,Yes
Royal 35 Steakhouse,591,Deli,"“Superb Steak, really delicious”",No,Yes
Prime 333,3,"American, Seafood",“delicious”,No,Yes
Eterea,2,American,"“Cozy, spacious, delicious and friendly...”",No,Yes
Famous Famiglia Pizzeria,8,"Pub, Gastropub","“Not bad, and situated near Columbia...”",No,Yes
Zest Ramen,2,"Chinese, Spanish",“Two thumbs up!”,No,No
7 Brothers Deli,12,"Chinese, Asian",“NAB NY 2019”,No,No
MERMAID OYSTER BAR TIMES SQUARE,9,"Latin, Spanish",“Best oysters in my life”,No,No
Caledonia Bar UWS,6,"Asian, Chinese",“Great whiskey bar but no food”,No,No
Snowy Village,3,"Bar, Pub",“October early”,No,No
Van Leeuwen Ice Cream,3,Asian,"“Great taste, great assortment, cruel price”",No,No
Broadway Slice,2,Mediterranean,"“Small but Quick, Easy and Inexpensive”",No,No
Chans Kitchen,5,Japanese,“My Favorite Chinese Take Out”,No,No
The Elgin,55,"Steakhouse, American",“I had the sliders and a green salad with a tasty lemony vinaigrette.”,No,No
Skorpios,2,"Steakhouse, American",“Fantastic !”,No,No
La Dinastia II,4,"Steakhouse, American",“I love the Chicken Cracklings with the...”,No,No
3 Times,2,"Steakhouse, American",“Dim Sum and other comfort Chinese food”,No,No
Areppas Flatiron,2,"Steakhouse, American",“Stopped by for lunch this past week”,No,No
Shoe Bar,2,"Steakhouse, American",“Oh what a view!!!”,No,No
Little Alley,44,"Steakhouse, American",“I savored Crystal Shrimp Dumplings with delicate translucent skin that melted...”,No,No
